  Lines           Copies        Function name
  -----           ------        -------------
  1330660 (100%)  31162 (100%)  (TOTAL)
    17281 (1.3%)    182 (0.6%)  <alloc::boxed::Box<T,A> as core::ops::drop::Drop>::drop
    16253 (1.2%)    323 (1.0%)  std::panicking::try
    14727 (1.1%)      6 (0.0%)  scylla::transport::session::Session::execute_query::{{closure}}
    14212 (1.1%)    323 (1.0%)  std::panicking::try::do_catch
    13683 (1.0%)    162 (0.5%)  core::iter::traits::iterator::Iterator::try_fold
    12027 (0.9%)     37 (0.1%)  <toml_edit::de::value::ValueDeserializer as serde::de::Deserializer>::deserialize_any
    11914 (0.9%)    307 (1.0%)  core::result::Result<T,E>::map_err
    11605 (0.9%)     96 (0.3%)  serde::ser::Serializer::collect_seq
    11585 (0.9%)     35 (0.1%)  alloc::raw_vec::RawVec<T,A>::grow_amortized
    10616 (0.8%)     94 (0.3%)  std::thread::local::LocalKey<T>::try_with
    10571 (0.8%)    377 (1.2%)  <core::result::Result<T,E> as core::ops::try_trait::Try>::branch
     9730 (0.7%)     64 (0.2%)  tokio::runtime::task::core::Cell<T,S>::new
     9564 (0.7%)    253 (0.8%)  tokio::loom::std::unsafe_cell::UnsafeCell<T>::with_mut
     8769 (0.7%)    323 (1.0%)  std::panicking::try::do_call
     8764 (0.7%)    491 (1.6%)  core::ops::function::FnOnce::call_once
     7714 (0.6%)     64 (0.2%)  tokio::runtime::task::harness::poll_future
     7153 (0.5%)    110 (0.4%)  <serde_json::ser::Compound<W,F> as serde::ser::SerializeMap>::serialize_value
     7069 (0.5%)     14 (0.0%)  <F as axum::handler::Handler<(M,T1,T2),S,B>>::call::{{closure}}
     7024 (0.5%)     51 (0.2%)  <alloc::sync::Weak<T,A> as core::ops::drop::Drop>::drop
     6885 (0.5%)    281 (0.9%)  alloc::boxed::Box<T>::new
     6521 (0.5%)     11 (0.0%)  <alloc::collections::btree::map::BTreeMap<K,V,A> as core::clone::Clone>::clone::clone_subtree
